odooVersionKey,sourcePdmVersionKey,odooProductId,sourceDocumentId,revision,defaultCode,lifecycleState,isCurrent,effectiveDate,standardPrice
ODOO-VER-000002-001,2-1,ODOO-PROD-000002,2,1,210868,released,FALSE,2024-01-18,12.10
ODOO-VER-000002-002,2-2,ODOO-PROD-000002,2,2,210868,released,FALSE,2024-01-21,12.20
ODOO-VER-000002-003,2-3,ODOO-PROD-000002,2,3,210868,released,FALSE,2024-01-24,12.30
ODOO-VER-000002-004,2-4,ODOO-PROD-000002,2,4,210868,released,FALSE,2024-01-27,12.40
ODOO-VER-000002-005,2-5,ODOO-PROD-000002,2,5,210868,released,FALSE,2024-01-30,12.50
ODOO-VER-000002-006,2-6,ODOO-PROD-000002,2,6,210868,released,FALSE,2024-02-02,12.60
ODOO-VER-000002-019,2-19,ODOO-PROD-000002,2,19,210868,released,FALSE,2024-03-12,12.20
ODOO-VER-000002-020,2-20,ODOO-PROD-000002,2,20,210868,released,FALSE,2024-03-15,12.30
ODOO-VER-000002-021,2-21,ODOO-PROD-000002,2,21,210868,released,FALSE,2024-03-18,12.40
ODOO-VER-000002-022,2-22,ODOO-PROD-000002,2,22,210868,released,TRUE,2024-03-21,12.50
ODOO-VER-000002-013,2-13,ODOO-PROD-000002,2,13,210868,released,FALSE,2024-02-23,13.30
ODOO-VER-000002-014,2-14,ODOO-PROD-000002,2,14,210868,released,FALSE,2024-02-26,13.40
ODOO-VER-000002-015,2-15,ODOO-PROD-000002,2,15,210868,released,FALSE,2024-02-29,13.50
ODOO-VER-000002-016,2-16,ODOO-PROD-000002,2,16,210868,released,FALSE,2024-03-03,13.60
ODOO-VER-000002-017,2-17,ODOO-PROD-000002,2,17,210868,released,FALSE,2024-03-06,12.00
ODOO-VER-000002-018,2-18,ODOO-PROD-000002,2,18,210868,released,FALSE,2024-03-09,12.10
ODOO-VER-000002-007,2-7,ODOO-PROD-000002,2,7,210868,released,FALSE,2024-02-05,12.70
ODOO-VER-000002-008,2-8,ODOO-PROD-000002,2,8,210868,released,FALSE,2024-02-08,12.80
ODOO-VER-000002-009,2-9,ODOO-PROD-000002,2,9,210868,released,FALSE,2024-02-11,12.90
ODOO-VER-000002-010,2-10,ODOO-PROD-000002,2,10,210868,released,FALSE,2024-02-14,13.00
ODOO-VER-000002-011,2-11,ODOO-PROD-000002,2,11,210868,released,FALSE,2024-02-17,13.10
ODOO-VER-000002-012,2-12,ODOO-PROD-000002,2,12,210868,released,FALSE,2024-02-20,13.20
ODOO-VER-000003-001,3-1,ODOO-PROD-000003,3,1,200046,released,FALSE,2024-01-25,13.10
ODOO-VER-000003-002,3-2,ODOO-PROD-000003,3,2,200046,released,FALSE,2024-01-28,13.20
ODOO-VER-000003-003,3-3,ODOO-PROD-000003,3,3,200046,released,FALSE,2024-01-31,13.30
ODOO-VER-000003-004,3-4,ODOO-PROD-000003,3,4,200046,released,FALSE,2024-02-03,13.40
ODOO-VER-000003-005,3-5,ODOO-PROD-000003,3,5,200046,released,FALSE,2024-02-06,13.50
ODOO-VER-000003-006,3-6,ODOO-PROD-000003,3,6,200046,released,FALSE,2024-02-09,13.60
ODOO-VER-000003-013,3-13,ODOO-PROD-000003,3,13,200046,released,TRUE,2024-03-01,14.30
ODOO-VER-000003-007,3-7,ODOO-PROD-000003,3,7,200046,released,FALSE,2024-02-12,13.70
ODOO-VER-000003-008,3-8,ODOO-PROD-000003,3,8,200046,released,FALSE,2024-02-15,13.80
ODOO-VER-000003-009,3-9,ODOO-PROD-000003,3,9,200046,released,FALSE,2024-02-18,13.90
ODOO-VER-000003-010,3-10,ODOO-PROD-000003,3,10,200046,released,FALSE,2024-02-21,14.00
ODOO-VER-000003-011,3-11,ODOO-PROD-000003,3,11,200046,released,FALSE,2024-02-24,14.10
ODOO-VER-000003-012,3-12,ODOO-PROD-000003,3,12,200046,released,FALSE,2024-02-27,14.20
ODOO-VER-000004-001,4-1,ODOO-PROD-000004,4,1,TEMP570307,in_review,FALSE,2024-02-01,14.10
ODOO-VER-000004-002,4-2,ODOO-PROD-000004,4,2,TEMP570307,in_review,FALSE,2024-02-04,14.20
ODOO-VER-000004-003,4-3,ODOO-PROD-000004,4,3,TEMP570307,in_review,FALSE,2024-02-07,14.30
ODOO-VER-000004-004,4-4,ODOO-PROD-000004,4,4,TEMP570307,in_review,TRUE,2024-02-10,14.40
ODOO-VER-000005-001,5-1,ODOO-PROD-000005,5,1,TEMP566662,in_review,FALSE,2024-02-08,15.10
ODOO-VER-000005-002,5-2,ODOO-PROD-000005,5,2,TEMP566662,in_review,FALSE,2024-02-11,15.20
ODOO-VER-000005-003,5-3,ODOO-PROD-000005,5,3,TEMP566662,in_review,FALSE,2024-02-14,15.30
ODOO-VER-000005-004,5-4,ODOO-PROD-000005,5,4,TEMP566662,in_review,FALSE,2024-02-17,15.40
ODOO-VER-000005-005,5-5,ODOO-PROD-000005,5,5,TEMP566662,in_review,FALSE,2024-02-20,15.50
ODOO-VER-000005-006,5-6,ODOO-PROD-000005,5,6,TEMP566662,in_review,FALSE,2024-02-23,15.60
ODOO-VER-000005-007,5-7,ODOO-PROD-000005,5,7,TEMP566662,in_review,FALSE,2024-02-26,15.70
ODOO-VER-000005-008,5-8,ODOO-PROD-000005,5,8,TEMP566662,in_review,TRUE,2024-02-29,15.80
ODOO-VER-000006-001,6-1,ODOO-PROD-000006,6,1,TEMP497181,released,FALSE,2024-02-15,16.10
ODOO-VER-000006-002,6-2,ODOO-PROD-000006,6,2,TEMP497181,released,FALSE,2024-02-18,16.20
ODOO-VER-000006-003,6-3,ODOO-PROD-000006,6,3,TEMP497181,released,FALSE,2024-02-21,16.30
ODOO-VER-000006-004,6-4,ODOO-PROD-000006,6,4,TEMP497181,released,FALSE,2024-02-24,16.40
ODOO-VER-000006-005,6-5,ODOO-PROD-000006,6,5,TEMP497181,released,FALSE,2024-02-27,16.50
ODOO-VER-000006-006,6-6,ODOO-PROD-000006,6,6,TEMP497181,released,TRUE,2024-03-01,16.60
ODOO-VER-000007-001,7-1,ODOO-PROD-000007,7,1,TEMP248872,in_review,FALSE,2024-02-22,17.10
ODOO-VER-000007-002,7-2,ODOO-PROD-000007,7,2,TEMP248872,in_review,FALSE,2024-02-25,17.20
ODOO-VER-000007-003,7-3,ODOO-PROD-000007,7,3,TEMP248872,in_review,FALSE,2024-02-28,17.30
ODOO-VER-000007-004,7-4,ODOO-PROD-000007,7,4,TEMP248872,in_review,TRUE,2024-03-02,17.40
ODOO-VER-000008-001,8-1,ODOO-PROD-000008,8,1,TEMP171669,released,FALSE,2024-02-29,18.10
ODOO-VER-000008-002,8-2,ODOO-PROD-000008,8,2,TEMP171669,released,FALSE,2024-03-03,18.20
ODOO-VER-000008-003,8-3,ODOO-PROD-000008,8,3,TEMP171669,released,FALSE,2024-03-06,18.30
