relationId,parent,child,revision,isCurrent,active
ODOO-HASVER-0000001,ODOO-PROD-000002,ODOO-VER-000002-001,1,FALSE,TRUE
ODOO-HASVER-0000002,ODOO-PROD-000002,ODOO-VER-000002-002,2,FALSE,TRUE
ODOO-HASVER-0000003,ODOO-PROD-000002,ODOO-VER-000002-003,3,FALSE,TRUE
ODOO-HASVER-0000004,ODOO-PROD-000002,ODOO-VER-000002-004,4,FALSE,TRUE
ODOO-HASVER-0000005,ODOO-PROD-000002,ODOO-VER-000002-005,5,FALSE,TRUE
ODOO-HASVER-0000006,ODOO-PROD-000002,ODOO-VER-000002-006,6,FALSE,TRUE
ODOO-HASVER-0000007,ODOO-PROD-000002,ODOO-VER-000002-019,19,FALSE,TRUE
ODOO-HASVER-0000008,ODOO-PROD-000002,ODOO-VER-000002-020,20,FALSE,TRUE
ODOO-HASVER-0000009,ODOO-PROD-000002,ODOO-VER-000002-021,21,FALSE,TRUE
ODOO-HASVER-0000010,ODOO-PROD-000002,ODOO-VER-000002-022,22,TRUE,TRUE
ODOO-HASVER-0000011,ODOO-PROD-000002,ODOO-VER-000002-013,13,FALSE,TRUE
ODOO-HASVER-0000012,ODOO-PROD-000002,ODOO-VER-000002-014,14,FALSE,TRUE
ODOO-HASVER-0000013,ODOO-PROD-000002,ODOO-VER-000002-015,15,FALSE,TRUE
ODOO-HASVER-0000014,ODOO-PROD-000002,ODOO-VER-000002-016,16,FALSE,TRUE
ODOO-HASVER-0000015,ODOO-PROD-000002,ODOO-VER-000002-017,17,FALSE,TRUE
ODOO-HASVER-0000016,ODOO-PROD-000002,ODOO-VER-000002-018,18,FALSE,TRUE
ODOO-HASVER-0000017,ODOO-PROD-000002,ODOO-VER-000002-007,7,FALSE,TRUE
ODOO-HASVER-0000018,ODOO-PROD-000002,ODOO-VER-000002-008,8,FALSE,TRUE
ODOO-HASVER-0000019,ODOO-PROD-000002,ODOO-VER-000002-009,9,FALSE,TRUE
ODOO-HASVER-0000020,ODOO-PROD-000002,ODOO-VER-000002-010,10,FALSE,TRUE
ODOO-HASVER-0000021,ODOO-PROD-000002,ODOO-VER-000002-011,11,FALSE,TRUE
ODOO-HASVER-0000022,ODOO-PROD-000002,ODOO-VER-000002-012,12,FALSE,TRUE
ODOO-HASVER-0000023,ODOO-PROD-000003,ODOO-VER-000003-001,1,FALSE,TRUE
ODOO-HASVER-0000024,ODOO-PROD-000003,ODOO-VER-000003-002,2,FALSE,TRUE
ODOO-HASVER-0000025,ODOO-PROD-000003,ODOO-VER-000003-003,3,FALSE,TRUE
ODOO-HASVER-0000026,ODOO-PROD-000003,ODOO-VER-000003-004,4,FALSE,TRUE
ODOO-HASVER-0000027,ODOO-PROD-000003,ODOO-VER-000003-005,5,FALSE,TRUE
ODOO-HASVER-0000028,ODOO-PROD-000003,ODOO-VER-000003-006,6,FALSE,TRUE
ODOO-HASVER-0000029,ODOO-PROD-000003,ODOO-VER-000003-013,13,TRUE,TRUE
ODOO-HASVER-0000030,ODOO-PROD-000003,ODOO-VER-000003-007,7,FALSE,TRUE
ODOO-HASVER-0000031,ODOO-PROD-000003,ODOO-VER-000003-008,8,FALSE,TRUE
ODOO-HASVER-0000032,ODOO-PROD-000003,ODOO-VER-000003-009,9,FALSE,TRUE
ODOO-HASVER-0000033,ODOO-PROD-000003,ODOO-VER-000003-010,10,FALSE,TRUE
ODOO-HASVER-0000034,ODOO-PROD-000003,ODOO-VER-000003-011,11,FALSE,TRUE
ODOO-HASVER-0000035,ODOO-PROD-000003,ODOO-VER-000003-012,12,FALSE,TRUE
ODOO-HASVER-0000036,ODOO-PROD-000004,ODOO-VER-000004-001,1,FALSE,TRUE
ODOO-HASVER-0000037,ODOO-PROD-000004,ODOO-VER-000004-002,2,FALSE,TRUE
ODOO-HASVER-0000038,ODOO-PROD-000004,ODOO-VER-000004-003,3,FALSE,TRUE
ODOO-HASVER-0000039,ODOO-PROD-000004,ODOO-VER-000004-004,4,TRUE,TRUE
ODOO-HASVER-0000040,ODOO-PROD-000005,ODOO-VER-000005-001,1,FALSE,TRUE
ODOO-HASVER-0000041,ODOO-PROD-000005,ODOO-VER-000005-002,2,FALSE,TRUE
ODOO-HASVER-0000042,ODOO-PROD-000005,ODOO-VER-000005-003,3,FALSE,TRUE
ODOO-HASVER-0000043,ODOO-PROD-000005,ODOO-VER-000005-004,4,FALSE,TRUE
ODOO-HASVER-0000044,ODOO-PROD-000005,ODOO-VER-000005-005,5,FALSE,TRUE
ODOO-HASVER-0000045,ODOO-PROD-000005,ODOO-VER-000005-006,6,FALSE,TRUE
ODOO-HASVER-0000046,ODOO-PROD-000005,ODOO-VER-000005-007,7,FALSE,TRUE
ODOO-HASVER-0000047,ODOO-PROD-000005,ODOO-VER-000005-008,8,TRUE,TRUE
ODOO-HASVER-0000048,ODOO-PROD-000006,ODOO-VER-000006-001,1,FALSE,TRUE
ODOO-HASVER-0000049,ODOO-PROD-000006,ODOO-VER-000006-002,2,FALSE,TRUE
ODOO-HASVER-0000050,ODOO-PROD-000006,ODOO-VER-000006-003,3,FALSE,TRUE
