parent,child
2,2-1
2,2-2
2,2-3
2,2-4
2,2-5
2,2-6
2,2-19
2,2-20
2,2-21
2,2-22
2,2-13
2,2-14
2,2-15
2,2-16
2,2-17
2,2-18
2,2-7
2,2-8
2,2-9
2,2-10
2,2-11
2,2-12
3,3-1
3,3-2
3,3-3
3,3-4
3,3-5
3,3-6
3,3-13
3,3-7
3,3-8
3,3-9
3,3-10
3,3-11
3,3-12
4,4-1
4,4-2
4,4-3
4,4-4
5,5-1
5,5-2
5,5-3
5,5-4
5,5-5
5,5-6
5,5-7
5,5-8
6,6-1
6,6-2
6,6-3
6,6-4
6,6-5
6,6-6
7,7-1
7,7-2
7,7-3
7,7-4
8,8-1
8,8-2
8,8-3
8,8-4
8,8-5
9,9-1
9,9-2
9,9-3
9,9-4
9,9-5
10,10-1
10,10-2
10,10-3
10,10-4
10,10-5
10,10-6
10,10-7
10,10-8
11,11-1
11,11-2
11,11-3
11,11-4
12,12-1
12,12-2
12,12-3
12,12-4
12,12-5
12,12-6
13,13-1
13,13-2
13,13-3
13,13-4
13,13-5
13,13-6
13,13-7
13,13-8
13,13-9
13,13-10
14,14-1
14,14-2
14,14-3
14,14-4
14,14-5
14,14-6
14,14-25
14,14-26
14,14-19
14,14-20
14,14-21
14,14-22
14,14-23
14,14-24
14,14-13
14,14-14
14,14-15
14,14-16
14,14-17
14,14-18
14,14-7
14,14-8
14,14-9
14,14-10
14,14-11
14,14-12
15,15-1
15,15-32
15,15-26
15,15-27
15,15-28
15,15-29
15,15-30
15,15-31
15,15-20
15,15-21
15,15-22
15,15-23
15,15-24
15,15-25
15,15-14
15,15-15
15,15-16
15,15-17
15,15-18
15,15-19
15,15-8
15,15-9
15,15-10
15,15-11
15,15-12
15,15-13
15,15-2
15,15-3
15,15-4
15,15-5
15,15-6
15,15-7
1022,1022-1
1022,1022-2
1023,1023-1
1023,1023-2
1023,1023-3
1023,1023-4
1024,1024-1
1025,1025-1
1025,1025-2
1025,1025-3
1025,1025-4
1025,1025-5
1025,1025-6
1027,1027-1
1027,1027-2
1029,1029-1
1029,1029-2
1029,1029-3
1029,1029-4
1030,1030-1
1030,1030-2
1030,1030-3
1031,1031-1
1031,1031-2
1031,1031-3
1032,1032-1
1032,1032-2
1032,1032-3
1032,1032-4
1032,1032-5
1032,1032-6
1032,1032-7
1033,1033-1
1033,1033-2
1033,1033-3
1034,1034-1
1034,1034-2
1034,1034-3
1035,1035-1
1035,1035-2
1035,1035-3
1036,1036-1
1036,1036-2
1036,1036-3
1036,1036-4
1036,1036-5
1036,1036-6
1038,1038-1
1038,1038-2
1039,1039-1
1039,1039-2
1039,1039-3
1040,1040-1
1040,1040-2
1040,1040-3
1041,1041-1
1041,1041-2
1041,1041-3
1041,1041-4
1041,1041-5
1042,1042-1
1042,1042-2
1042,1042-3
1043,1043-1
1044,1044-1
1044,1044-2
1044,1044-3
2043,2043-1
2043,2043-2
2043,2043-3
2043,2043-4
2043,2043-5
2043,2043-6
2043,2043-19
2043,2043-20
2043,2043-21
2043,2043-13
2043,2043-14
2043,2043-15
2043,2043-16
2043,2043-17
2043,2043-18
2043,2043-7
2043,2043-8
2043,2043-9
2043,2043-10
2043,2043-11
2043,2043-12
2060,2060-1
2060,2060-2
2060,2060-3
2061,2061-1
2061,2061-2
2061,2061-3
2061,2061-4
2061,2061-5
2061,2061-6
2062,2062-1
2062,2062-2
2062,2062-3
2062,2062-4
2063,2063-1
2063,2063-2
2063,2063-3
2063,2063-4
2063,2063-5
2063,2063-6
2063,2063-13
2063,2063-14
2063,2063-7
2063,2063-8
2063,2063-9
2063,2063-10
2063,2063-11
2063,2063-12
2069,2069-1
2069,2069-2
2070,2070-1
2071,2071-1
2072,2072-1
2073,2073-1
2074,2074-1
2075,2075-1
2076,2076-1
2077,2077-1
2078,2078-1
2079,2079-1
2080,2080-1
2083,2083-1
2083,2083-2
2086,2086-1
2087,2087-1
2088,2088-1
2089,2089-1
2090,2090-1
2090,2090-2
2090,2090-3
2090,2090-4
2090,2090-5
2093,2093-1
2093,2093-2
2093,2093-3
2093,2093-4
2093,2093-5
2093,2093-6
2093,2093-7
2093,2093-8
2093,2093-9
2093,2093-10
2093,2093-11
2095,2095-1
2095,2095-2
2095,2095-3
2095,2095-4
2095,2095-5
2097,2097-1
2097,2097-2
2097,2097-3
2097,2097-4
2100,2100-1
2100,2100-2
2100,2100-3
2100,2100-4
2100,2100-5
2103,2103-1
2103,2103-2
2103,2103-3
2103,2103-4
2103,2103-5
2104,2104-1
2104,2104-2
2104,2104-3
2104,2104-4
2104,2104-5
2107,2107-1
2107,2107-2
2107,2107-3
2107,2107-4
2110,2110-1
2110,2110-2
2110,2110-3
2112,2112-1
2112,2112-2
2112,2112-3
2112,2112-4
2114,2114-1
2114,2114-2
2114,2114-3
2116,2116-1
2116,2116-2
2117,2117-1
2117,2117-2
2117,2117-3
2118,2118-1
2118,2118-2
2118,2118-3
2118,2118-4
2119,2119-1
2119,2119-2
2119,2119-3
2119,2119-4
2119,2119-5
2120,2120-1
2120,2120-2
2120,2120-3
2120,2120-4
2128,2128-1
2128,2128-2
2128,2128-3
2128,2128-4
2128,2128-5
2130,2130-1
2130,2130-2
2130,2130-3
2130,2130-4
2131,2131-1
2131,2131-2
2131,2131-3
2132,2132-1
2132,2132-2
2132,2132-3
2132,2132-4
2136,2136-1
2136,2136-2
2136,2136-3
2136,2136-4
2136,2136-5
2138,2138-1
2138,2138-2
2138,2138-3
2138,2138-4
2140,2140-1
2140,2140-2
2140,2140-3
2140,2140-4
2140,2140-5
2142,2142-1
2142,2142-2
2142,2142-3
2144,2144-1
2144,2144-2
2144,2144-3
2146,2146-1
2146,2146-2
2146,2146-3
2146,2146-4
2146,2146-5
2146,2146-6
2147,2147-1
2147,2147-2
2147,2147-3
2147,2147-4
2148,2148-1
2148,2148-2
2148,2148-3
2148,2148-4
2148,2148-5
2148,2148-6
2148,2148-7
2148,2148-8
2149,2149-1
2150,2150-1
2150,2150-2
2150,2150-3
2150,2150-4
2153,2153-1
2153,2153-2
2154,2154-1
2154,2154-2
2155,2155-1
2155,2155-2
2155,2155-3
2156,2156-1
2156,2156-2
2165,2165-1
2165,2165-2
2165,2165-3
2166,2166-3
2166,2166-1
2166,2166-2
2167,2167-1
2167,2167-2
2167,2167-3
2168,2168-1
2168,2168-2
2173,2173-1
2173,2173-2
2173,2173-3
2175,2175-1
2175,2175-2
2175,2175-3
2176,2176-1
2176,2176-2
2176,2176-3
2181,2181-1
2181,2181-2
2181,2181-3
2184,2184-1
2184,2184-2
2184,2184-3
2187,2187-1
2187,2187-2
2187,2187-3
