documentId,fileName,projectPath
2,210868.sldprt,\PROJECTS\
3,200046.sldprt,\PROJECTS\
4,Temp570307.sldprt,\PROJECTS\
5,Temp566662.SLDPRT,\PROJECTS\
6,Temp497181.sldprt,\PROJECTS\
7,Temp248872.sldprt,\PROJECTS\
8,Temp171669.sldprt,\PROJECTS\
9,Temp160360.sldprt,\PROJECTS\
10,Temp154255.sldprt,\PROJECTS\
11,Temp79360.sldprt,\PROJECTS\
12,Temp75793.sldprt,\PROJECTS\
13,hex nut gradec_iso.sldprt,\PROJECTS\
14,200104.SLDASM,\PROJECTS\
15,200069.SLDASM,\PROJECTS\
1022,200081.SLDASM,\PROJECTS\
1023,200108.SLDASM,\PROJECTS\
1024,Copy of 200080.SLDASM,\PROJECTS\
1025,200106.SLDASM,\PROJECTS\
1027,Copy of Temp581055.sldprt,\PROJECTS\
1029,test.sldprt,\PROJECTS\
1030,Copy of test.sldprt,\PROJECTS\
1031,Copy of Copy of test.sldprt,\PROJECTS\
1032,210875.sldprt,\PROJECTS\
1033,Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\
1034,Copy of Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\
1035,Copy of Copy of Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\
1036,Copy (2) of Temp581055.sldprt,\PROJECTS\
1038,Copy (2) of Copy of Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\
1039,Copy (2) of Copy (2) of Copy of test.sldprt,\PROJECTS\
1040,Copy of 200108.SLDASM,\PROJECTS\
1041,Copy (2) of 200108.SLDASM,\PROJECTS\
1042,200186.SLDASM,\PROJECTS\
1043,Copy of 200106.SLDASM,\PROJECTS\
1044,200187.SLDASM,\PROJECTS\
2043,210873.sldprt,\PROJECTS\
2060,210877.sldprt,\PROJECTS\1.ATest'\
2061,210878.sldprt,\PROJECTS\1.ATest'\
2062,210876.sldprt,\PROJECTS\1.ATest'\
2063,219052.SLDASM,\PROJECTS\1.ATest'\
2069,Temp566999.SLDPRT,\PROJECTS\
2070,Copy of Temp566999.SLDPRT,\PROJECTS\
2071,Copy (2) of Temp566999.SLDPRT,\PROJECTS\
2072,Copy (3) of Temp566999.SLDPRT,\PROJECTS\
2073,Copy of Temp566662.SLDPRT,\PROJECTS\
2074,Virtual document.sldprt.cvd,\PROJECTS\
2075,New Microsoft Excel Worksheet.xlsx,\PROJECTS\
2076,Copy (2) of Temp566662.SLDPRT,\PROJECTS\
2077,Copy (3) of Temp566662.SLDPRT,\PROJECTS\
2078,Copy of 200046.sldprt,\PROJECTS\
2079,Copy of Copy of 200046.sldprt,\PROJECTS\
2080,Copy (2) of 200046.sldprt,\PROJECTS\
2083,Copy (3) of 200046.sldprt,\PROJECTS\
2086,Copy (4) of 200046.sldprt,\PROJECTS\
2087,New Microsoft Excel Worksheet (2).xlsx,\PROJECTS\
2088,Copy (5) of 200046.sldprt,\PROJECTS\
2089,Copy (6) of 200046.sldprt,\PROJECTS\
2090,212919.sldprt,\PROJECTS\1.ATest'\
2093,212928.SLDASM,\PROJECTS\1.ATest'\
2095,212929.SLDASM,\PROJECTS\1.ATest'\
2097,212930.sldprt,\PROJECTS\1.ATest'\
2100,212939.sldprt,\PROJECTS\1.ATest'\
2103,Part1.SLDPRT,\PROJECTS\1.ATest'\
2104,23232323232323.sldprt,\PROJECTS\1.ATest'\
2107,Copy of 212931.sldprt,\PROJECTS\1.ATest'\
2110,212933.SLDASM,\PROJECTS\1.ATest'\
2112,212934.SLDASM,\PROJECTS\1.ATest'\
2114,212935.SLDASM,\PROJECTS\1.ATest'\
2116,Copy (2) of 212930.sldprt,\PROJECTS\1.ATest'\
2117,212936.sldprt,\PROJECTS\1.ATest'\
2118,212937.sldprt,\PROJECTS\1.ATest'\
2119,212940.sldprt,\PROJECTS\1.ATest'\
2120,212938.sldprt,\PROJECTS\1.ATest'\
2128,212941.sldprt,\PROJECTS\1.ATest'\
2130,Copy of 212940.sldprt,\PROJECTS\1.ATest'\
2131,212943.sldprt,\PROJECTS\1.ATest'\
2132,212942.sldprt,\PROJECTS\1.ATest'\
2136,212945.sldprt,\PROJECTS\1.ATest'\
2138,212946.SLDASM,\PROJECTS\1.ATest'\
2140,212947.SLDASM,\PROJECTS\1.ATest'\
2142,212948.SLDASM,\PROJECTS\1.ATest'\
2144,212951.SLDASM,\PROJECTS\1.ATest'\
