bomLineId,parent,child,quantity,uom,sequence,bomType,operation,scrapPercent,active
ODOO-BOMLINE-0000001,ODOO-VER-000015-010,ODOO-VER-000006-004,1,Units,2,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000002,ODOO-VER-000015-010,ODOO-VER-000008-005,1,Units,3,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000003,ODOO-VER-000015-010,ODOO-VER-000009-004,1,Units,4,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000004,ODOO-VER-000015-020,ODOO-VER-000002-006,1,Units,5,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000005,ODOO-VER-000015-020,ODOO-VER-000006-005,1,Units,6,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000006,ODOO-VER-000015-020,ODOO-VER-000008-005,1,Units,7,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000007,ODOO-VER-000015-020,ODOO-VER-000009-004,1,Units,8,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000008,ODOO-VER-000015-020,ODOO-VER-000010-004,1,Units,9,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000009,ODOO-VER-000015-020,ODOO-VER-000012-004,1,Units,10,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000010,ODOO-VER-000015-021,ODOO-VER-000002-006,1,Units,11,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000011,ODOO-VER-000015-021,ODOO-VER-000006-005,1,Units,12,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000012,ODOO-VER-000015-021,ODOO-VER-000008-005,1,Units,13,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000013,ODOO-VER-000015-010,ODOO-VER-000010-004,1,Units,14,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000014,ODOO-VER-000015-021,ODOO-VER-000009-004,1,Units,15,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000015,ODOO-VER-000015-021,ODOO-VER-000010-004,1,Units,16,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000016,ODOO-VER-000015-021,ODOO-VER-000012-004,1,Units,17,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000017,ODOO-VER-000015-022,ODOO-VER-000002-006,1,Units,18,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000018,ODOO-VER-000015-022,ODOO-VER-000006-005,1,Units,19,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000019,ODOO-VER-000015-022,ODOO-VER-000008-005,1,Units,20,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000020,ODOO-VER-000015-022,ODOO-VER-000009-004,1,Units,21,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000021,ODOO-VER-000015-022,ODOO-VER-000010-004,1,Units,22,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000022,ODOO-VER-000015-022,ODOO-VER-000012-004,1,Units,23,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000023,ODOO-VER-000015-023,ODOO-VER-000002-006,1,Units,24,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000024,ODOO-VER-000015-010,ODOO-VER-000012-004,1,Units,25,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000025,ODOO-VER-000015-023,ODOO-VER-000006-005,1,Units,26,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000026,ODOO-VER-000015-023,ODOO-VER-000008-005,1,Units,27,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000027,ODOO-VER-000015-023,ODOO-VER-000009-004,1,Units,28,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000028,ODOO-VER-000015-023,ODOO-VER-000010-004,1,Units,29,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000029,ODOO-VER-000015-023,ODOO-VER-000012-004,1,Units,30,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000030,ODOO-VER-000015-024,ODOO-VER-000002-006,1,Units,31,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000031,ODOO-VER-000015-024,ODOO-VER-000006-005,1,Units,32,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000032,ODOO-VER-000015-024,ODOO-VER-000008-005,1,Units,33,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000033,ODOO-VER-000015-024,ODOO-VER-000009-004,1,Units,34,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000034,ODOO-VER-000015-024,ODOO-VER-000010-004,1,Units,35,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000035,ODOO-VER-000015-011,ODOO-VER-000002-006,1,Units,36,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000036,ODOO-VER-000015-024,ODOO-VER-000012-004,1,Units,37,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000037,ODOO-VER-000015-025,ODOO-VER-000002-006,1,Units,38,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000038,ODOO-VER-000015-025,ODOO-VER-000006-005,1,Units,39,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000039,ODOO-VER-000015-025,ODOO-VER-000008-005,1,Units,40,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000040,ODOO-VER-000015-025,ODOO-VER-000009-004,1,Units,41,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000041,ODOO-VER-000015-025,ODOO-VER-000010-004,1,Units,42,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000042,ODOO-VER-000015-025,ODOO-VER-000012-004,1,Units,43,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000043,ODOO-VER-000015-026,ODOO-VER-000002-006,1,Units,44,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000044,ODOO-VER-000015-026,ODOO-VER-000006-005,1,Units,45,normal,Assembly,0.00,TRUE
