documentId,fileName,isLatest,pdmVersionKey,projectPath,revision,lifecycleState,workflow
2,210868.sldprt,FALSE,2-1,\PROJECTS\,1,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-2,\PROJECTS\,2,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-3,\PROJECTS\,3,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-4,\PROJECTS\,4,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-5,\PROJECTS\,5,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-6,\PROJECTS\,6,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-19,\PROJECTS\,19,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-20,\PROJECTS\,20,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-21,\PROJECTS\,21,MFG,Alligator CAD
2,210868.sldprt,TRUE,2-22,\PROJECTS\,22,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-13,\PROJECTS\,13,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-14,\PROJECTS\,14,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-15,\PROJECTS\,15,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-16,\PROJECTS\,16,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-17,\PROJECTS\,17,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-18,\PROJECTS\,18,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-7,\PROJECTS\,7,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-8,\PROJECTS\,8,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-9,\PROJECTS\,9,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-10,\PROJECTS\,10,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-11,\PROJECTS\,11,MFG,Alligator CAD
2,210868.sldprt,FALSE,2-12,\PROJECTS\,12,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-1,\PROJECTS\,1,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-2,\PROJECTS\,2,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-3,\PROJECTS\,3,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-4,\PROJECTS\,4,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-5,\PROJECTS\,5,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-6,\PROJECTS\,6,MFG,Alligator CAD
3,200046.sldprt,TRUE,3-13,\PROJECTS\,13,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-7,\PROJECTS\,7,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-8,\PROJECTS\,8,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-9,\PROJECTS\,9,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-10,\PROJECTS\,10,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-11,\PROJECTS\,11,MFG,Alligator CAD
3,200046.sldprt,FALSE,3-12,\PROJECTS\,12,MFG,Alligator CAD
4,Temp570307.sldprt,FALSE,4-1,\PROJECTS\,1,ECN waiting for Approval,Alligator CAD
4,Temp570307.sldprt,FALSE,4-2,\PROJECTS\,2,ECN waiting for Approval,Alligator CAD
4,Temp570307.sldprt,FALSE,4-3,\PROJECTS\,3,ECN waiting for Approval,Alligator CAD
4,Temp570307.sldprt,TRUE,4-4,\PROJECTS\,4,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-1,\PROJECTS\,1,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-2,\PROJECTS\,2,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-3,\PROJECTS\,3,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-4,\PROJECTS\,4,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-5,\PROJECTS\,5,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-6,\PROJECTS\,6,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,FALSE,5-7,\PROJECTS\,7,ECN waiting for Approval,Alligator CAD
5,Temp566662.SLDPRT,TRUE,5-8,\PROJECTS\,8,ECN waiting for Approval,Alligator CAD
6,Temp497181.sldprt,FALSE,6-1,\PROJECTS\,1,Concept Approved,Alligator CAD
6,Temp497181.sldprt,FALSE,6-2,\PROJECTS\,2,Concept Approved,Alligator CAD
6,Temp497181.sldprt,FALSE,6-3,\PROJECTS\,3,Concept Approved,Alligator CAD
6,Temp497181.sldprt,FALSE,6-4,\PROJECTS\,4,Concept Approved,Alligator CAD
6,Temp497181.sldprt,FALSE,6-5,\PROJECTS\,5,Concept Approved,Alligator CAD
6,Temp497181.sldprt,TRUE,6-6,\PROJECTS\,6,Concept Approved,Alligator CAD
7,Temp248872.sldprt,FALSE,7-1,\PROJECTS\,1,ECN waiting for Approval,Alligator CAD
7,Temp248872.sldprt,FALSE,7-2,\PROJECTS\,2,ECN waiting for Approval,Alligator CAD
7,Temp248872.sldprt,FALSE,7-3,\PROJECTS\,3,ECN waiting for Approval,Alligator CAD
7,Temp248872.sldprt,TRUE,7-4,\PROJECTS\,4,ECN waiting for Approval,Alligator CAD
8,Temp171669.sldprt,FALSE,8-1,\PROJECTS\,1,Concept Approved,Alligator CAD
8,Temp171669.sldprt,FALSE,8-2,\PROJECTS\,2,Concept Approved,Alligator CAD
8,Temp171669.sldprt,FALSE,8-3,\PROJECTS\,3,Concept Approved,Alligator CAD
8,Temp171669.sldprt,FALSE,8-4,\PROJECTS\,4,Concept Approved,Alligator CAD
8,Temp171669.sldprt,TRUE,8-5,\PROJECTS\,5,Concept Approved,Alligator CAD
9,Temp160360.sldprt,FALSE,9-1,\PROJECTS\,1,Concept Approved,Alligator CAD
9,Temp160360.sldprt,FALSE,9-2,\PROJECTS\,2,Concept Approved,Alligator CAD
9,Temp160360.sldprt,FALSE,9-3,\PROJECTS\,3,Concept Approved,Alligator CAD
9,Temp160360.sldprt,FALSE,9-4,\PROJECTS\,4,Concept Approved,Alligator CAD
9,Temp160360.sldprt,TRUE,9-5,\PROJECTS\,5,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-1,\PROJECTS\,1,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-2,\PROJECTS\,2,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-3,\PROJECTS\,3,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-4,\PROJECTS\,4,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-5,\PROJECTS\,5,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-6,\PROJECTS\,6,Concept Approved,Alligator CAD
10,Temp154255.sldprt,FALSE,10-7,\PROJECTS\,7,Concept Approved,Alligator CAD
10,Temp154255.sldprt,TRUE,10-8,\PROJECTS\,8,Concept Approved,Alligator CAD
11,Temp79360.sldprt,FALSE,11-1,\PROJECTS\,1,ECN waiting for Approval,Alligator CAD
11,Temp79360.sldprt,FALSE,11-2,\PROJECTS\,2,ECN waiting for Approval,Alligator CAD
11,Temp79360.sldprt,FALSE,11-3,\PROJECTS\,3,ECN waiting for Approval,Alligator CAD
11,Temp79360.sldprt,TRUE,11-4,\PROJECTS\,4,ECN waiting for Approval,Alligator CAD
12,Temp75793.sldprt,FALSE,12-1,\PROJECTS\,1,Concept Approved,Alligator CAD
12,Temp75793.sldprt,FALSE,12-2,\PROJECTS\,2,Concept Approved,Alligator CAD
12,Temp75793.sldprt,FALSE,12-3,\PROJECTS\,3,Concept Approved,Alligator CAD
12,Temp75793.sldprt,FALSE,12-4,\PROJECTS\,4,Concept Approved,Alligator CAD
12,Temp75793.sldprt,FALSE,12-5,\PROJECTS\,5,Concept Approved,Alligator CAD
12,Temp75793.sldprt,TRUE,12-6,\PROJECTS\,6,Concept Approved,Alligator CAD
13,hex nut gradec_iso.sldprt,FALSE,13-1,\PROJECTS\,1,MFG,Alligator CAD
