documentId,fileName,projectPath,status
2,210868.sldprt,\PROJECTS\,MFG
3,200046.sldprt,\PROJECTS\,MFG
4,Temp570307.sldprt,\PROJECTS\,MFG
5,Temp566662.SLDPRT,\PROJECTS\,MFG
6,Temp497181.sldprt,\PROJECTS\,MFG
7,Temp248872.sldprt,\PROJECTS\,MFG
8,Temp171669.sldprt,\PROJECTS\,MFG
9,Temp160360.sldprt,\PROJECTS\,MFG
10,Temp154255.sldprt,\PROJECTS\,MFG
11,Temp79360.sldprt,\PROJECTS\,MFG
12,Temp75793.sldprt,\PROJECTS\,MFG
13,hex nut gradec_iso.sldprt,\PROJECTS\,MFG
14,200104.SLDASM,\PROJECTS\,MFG
15,200069.SLDASM,\PROJECTS\,MFG
1022,200081.SLDASM,\PROJECTS\,MFG
1023,200108.SLDASM,\PROJECTS\,MFG
1024,Copy of 200080.SLDASM,\PROJECTS\,MFG
1025,200106.SLDASM,\PROJECTS\,MFG
1027,Copy of Temp581055.sldprt,\PROJECTS\,MFG
1029,test.sldprt,\PROJECTS\,MFG
1030,Copy of test.sldprt,\PROJECTS\,MFG
1031,Copy of Copy of test.sldprt,\PROJECTS\,MFG
1032,210875.sldprt,\PROJECTS\,MFG
1033,Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\,MFG
1034,Copy of Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\,MFG
1035,Copy of Copy of Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\,MFG
1036,Copy (2) of Temp581055.sldprt,\PROJECTS\,MFG
1038,Copy (2) of Copy of Copy of Copy (2) of Copy of test.sldprt,\PROJECTS\,MFG
1039,Copy (2) of Copy (2) of Copy of test.sldprt,\PROJECTS\,MFG
1040,Copy of 200108.SLDASM,\PROJECTS\,MFG
1041,Copy (2) of 200108.SLDASM,\PROJECTS\,MFG
1042,200186.SLDASM,\PROJECTS\,MFG
1043,Copy of 200106.SLDASM,\PROJECTS\,MFG
1044,200187.SLDASM,\PROJECTS\,MFG
2043,210873.sldprt,\PROJECTS\,MFG
2060,210877.sldprt,\PROJECTS\1.ATest'\,MFG
2061,210878.sldprt,\PROJECTS\1.ATest'\,MFG
2062,210876.sldprt,\PROJECTS\1.ATest'\,MFG
2063,219052.SLDASM,\PROJECTS\1.ATest'\,MFG
2069,Temp566999.SLDPRT,\PROJECTS\,MFG
2070,Copy of Temp566999.SLDPRT,\PROJECTS\,MFG
2071,Copy (2) of Temp566999.SLDPRT,\PROJECTS\,MFG
2072,Copy (3) of Temp566999.SLDPRT,\PROJECTS\,MFG
2073,Copy of Temp566662.SLDPRT,\PROJECTS\,MFG
2074,Virtual document.sldprt.cvd,\PROJECTS\,MFG
2075,New Microsoft Excel Worksheet.xlsx,\PROJECTS\,MFG
2076,Copy (2) of Temp566662.SLDPRT,\PROJECTS\,MFG
2077,Copy (3) of Temp566662.SLDPRT,\PROJECTS\,MFG
2078,Copy of 200046.sldprt,\PROJECTS\,MFG
2079,Copy of Copy of 200046.sldprt,\PROJECTS\,MFG
2080,Copy (2) of 200046.sldprt,\PROJECTS\,MFG
2083,Copy (3) of 200046.sldprt,\PROJECTS\,MFG
2086,Copy (4) of 200046.sldprt,\PROJECTS\,MFG
2087,New Microsoft Excel Worksheet (2).xlsx,\PROJECTS\,MFG
2088,Copy (5) of 200046.sldprt,\PROJECTS\,MFG
2089,Copy (6) of 200046.sldprt,\PROJECTS\,MFG
2090,212919.sldprt,\PROJECTS\1.ATest'\,MFG
2093,212928.SLDASM,\PROJECTS\1.ATest'\,MFG
2095,212929.SLDASM,\PROJECTS\1.ATest'\,MFG
2097,212930.sldprt,\PROJECTS\1.ATest'\,MFG
2100,212939.sldprt,\PROJECTS\1.ATest'\,MFG
2103,Part1.SLDPRT,\PROJECTS\1.ATest'\,MFG
2104,23232323232323.sldprt,\PROJECTS\1.ATest'\,MFG
2107,Copy of 212931.sldprt,\PROJECTS\1.ATest'\,MFG
2110,212933.SLDASM,\PROJECTS\1.ATest'\,MFG
2112,212934.SLDASM,\PROJECTS\1.ATest'\,MFG
2114,212935.SLDASM,\PROJECTS\1.ATest'\,MFG
2116,Copy (2) of 212930.sldprt,\PROJECTS\1.ATest'\,MFG
2117,212936.sldprt,\PROJECTS\1.ATest'\,MFG
2118,212937.sldprt,\PROJECTS\1.ATest'\,MFG
2119,212940.sldprt,\PROJECTS\1.ATest'\,MFG
2120,212938.sldprt,\PROJECTS\1.ATest'\,MFG
2128,212941.sldprt,\PROJECTS\1.ATest'\,MFG
2130,Copy of 212940.sldprt,\PROJECTS\1.ATest'\,MFG
2131,212943.sldprt,\PROJECTS\1.ATest'\,MFG
2132,212942.sldprt,\PROJECTS\1.ATest'\,MFG
2136,212945.sldprt,\PROJECTS\1.ATest'\,MFG
2138,212946.SLDASM,\PROJECTS\1.ATest'\,MFG
2140,212947.SLDASM,\PROJECTS\1.ATest'\,MFG
2142,212948.SLDASM,\PROJECTS\1.ATest'\,MFG
2144,212951.SLDASM,\PROJECTS\1.ATest'\,MFG
2146,21545459044.sldprt,\PROJECTS\,MFG
2147,Pneumatic 200080.SLDASM,\PROJECTS\,MFG
2148,Copy of 200080.SLDASM,\PROJECTS\1.ATest'\,MFG
2149,Copy of 212919.sldprt,\PROJECTS\1.ATest'\,MFG
2150,MultipleTestFile.sldprt,\PROJECTS\,MFG
2153,Copy of MultipleTestFile.sldprt,\PROJECTS\,MFG
2154,Copy (2) of MultipleTestFile.sldprt,\PROJECTS\,MFG
2155,219055.sldprt,\PROJECTS\,MFG
2156,Copy (4) of MultipleTestFile.sldprt,\PROJECTS\,MFG
2165,219056.sldprt,\PROJECTS\New Folder\,MFG
2166,219069.sldprt,\PROJECTS\New Folder\,MFG
2167,219064.sldprt,\PROJECTS\New Folder\,MFG
2168,Copy (3) of MultipleTestFile.sldprt,\PROJECTS\New Folder\,MFG
2173,219059.SLDASM,\PROJECTS\1.ATest'\,MFG
2175,Copy of 200081.SLDASM,\PROJECTS\,MFG
2176,Copy of Copy of 200081.SLDASM,\PROJECTS\,MFG
2181,219066.sldprt,\PROJECTS\New Folder\,MFG
2184,219065.sldprt,\PROJECTS\New Folder\,MFG
2187,219068.sldprt,\PROJECTS\New Folder\,MFG
2188,219067.sldprt,\PROJECTS\New Folder\,MFG
2193,Copy of 219067.sldprt,\PROJECTS\New Folder\,MFG
2196,Copy of 219068.sldprt,\PROJECTS\New Folder\,MFG
2197,209876543.SLDASM,\PROJECTS\1.ATest'\,MFG
2199,Copy of Part1.SLDPRT,\PROJECTS\1.ATest'\,MFG
2200,Copy of 210876.sldprt,\PROJECTS\1.ATest'\,MFG
3197,223735.SLDASM,\PROJECTS\1.ATest'\,MFG
