parent,child,quantity
15-10,6-4,1
15-10,8-5,1
15-10,9-4,1
15-20,2-6,1
15-20,6-5,1
15-20,8-5,1
15-20,9-4,1
15-20,10-4,1
15-20,12-4,1
15-21,2-6,1
15-21,6-5,1
15-21,8-5,1
15-10,10-4,1
15-21,9-4,1
15-21,10-4,1
15-21,12-4,1
15-22,2-6,1
15-22,6-5,1
15-22,8-5,1
15-22,9-4,1
15-22,10-4,1
15-22,12-4,1
15-23,2-6,1
15-10,12-4,1
15-23,6-5,1
15-23,8-5,1
15-23,9-4,1
15-23,10-4,1
15-23,12-4,1
15-24,2-6,1
15-24,6-5,1
15-24,8-5,1
15-24,9-4,1
15-24,10-4,1
15-11,2-6,1
15-24,12-4,1
15-25,2-6,1
15-25,6-5,1
15-25,8-5,1
15-25,9-4,1
15-25,10-4,1
15-25,12-4,1
15-26,2-6,1
15-26,6-5,1
15-26,8-5,1
15-11,6-5,1
15-26,9-4,1
15-26,10-4,1
15-26,12-4,1
15-27,2-6,1
15-27,6-5,1
15-27,8-5,1
15-27,9-4,1
15-27,10-4,1
15-27,12-4,1
15-28,2-6,1
15-11,8-5,1
15-28,6-5,1
15-28,8-5,1
15-28,9-4,1
15-28,10-4,1
15-28,12-4,1
15-29,2-6,1
15-29,6-5,1
15-29,8-5,1
15-29,9-4,1
15-29,10-4,1
15-11,9-4,1
15-29,12-4,1
14-3,4-4,1
14-3,5-4,1
14-3,7-4,1
14-3,11-3,2
14-3,15-29,1
14-4,4-4,1
14-4,5-4,1
14-4,7-4,1
14-4,11-3,2
15-11,10-4,1
14-4,15-29,1
14-5,4-4,1
14-5,5-4,1
14-5,7-4,1
14-5,11-3,2
14-5,15-29,1
14-6,4-4,1
14-6,5-4,1
14-6,7-4,1
14-6,11-3,2
15-11,12-4,1
14-6,15-29,1
14-7,4-4,1
14-7,5-4,1
14-7,7-4,1
14-7,11-3,2
14-7,15-29,1
14-8,4-4,1
14-8,5-4,1
14-8,7-4,1
14-8,11-3,2
15-12,2-6,1
14-8,15-29,1
14-9,4-4,1
14-9,5-4,1
14-9,7-4,1
14-9,11-3,2
14-9,15-29,1
14-10,4-4,1
14-10,5-4,1
14-10,7-4,1
14-10,11-3,2
15-12,6-5,1
14-10,15-29,1
14-11,4-4,1
14-11,5-4,1
14-11,7-4,1
14-11,11-3,2
14-11,15-29,1
14-12,4-4,1
14-12,5-4,1
14-12,7-4,1
14-12,11-3,2
15-12,8-5,1
14-12,15-29,1
1022-1,2-6,1
1022-1,6-5,1
3-4,13-2,1
1022-1,8-5,1
1022-1,9-4,1
1022-1,10-4,1
1022-1,12-4,1
1022-2,2-6,1
1022-2,6-5,1
1022-2,8-5,1
15-12,9-4,1
1022-2,9-4,1
1022-2,10-4,1
1022-2,12-4,1
1023-1,4-4,1
1023-1,5-4,1
1023-1,7-4,1
1023-1,11-3,2
1023-1,15-29,1
1023-2,4-4,1
1023-2,5-4,1
15-12,10-4,1
1023-2,7-4,1
1023-2,11-3,2
1023-2,15-29,1
1024-1,4-4,1
1024-1,5-4,1
1024-1,7-4,1
1024-1,11-3,2
1024-1,15-29,1
1025-1,4-4,1
1025-1,5-4,1
15-12,12-4,1
1025-1,7-4,1
1025-1,11-3,2
1025-1,15-29,1
1025-2,4-4,1
1025-2,5-4,1
1025-2,7-4,1
1025-2,11-3,2
1025-2,15-29,1
14-13,4-4,1
14-13,5-4,1
15-13,2-6,1
14-13,7-4,1
14-13,11-3,2
14-13,15-29,1
14-14,4-4,1
14-14,5-4,1
14-14,7-4,1
14-14,11-3,2
